Metric,Value
Degree,3.0
Alpha,10.0
Train_MSE,795423330.2266682
Train_RMSE,28203.250348615285
Train_MAE,19190.17340593664
Test_MSE,1257093093.4811318
Test_RMSE,35455.50864789746
Test_MAE,22528.866753564867
Train_R2,0.8637656798948078
Test_R2,0.8361095656788063
