Method,Train_RMSE,Test_RMSE,Train_R2,Test_R2
Closed-Form,18904.06213973617,83088.76737962202,0.9400854142174658,0.09994137430607508
Gradient Descent,20310.749810607173,33832.360253247905,0.9308369396512748,0.8507718486297197
