degree,alpha,val_rmse
1,0.1,33365.08248159257
1,1.0,33359.826024861664
1,10.0,33368.29394455516
1,100.0,33802.383021176276
2,0.1,27238.22650558845
2,1.0,27023.198363603344
2,10.0,27054.438805949787
2,100.0,28138.15693342706
3,0.1,26445.304510355978
3,1.0,26371.605149068422
3,10.0,25919.94402689907
3,100.0,26395.799904683605
