Method,Alpha,Train_MSE,Train_RMSE,Train_MAE,Test_MSE,Test_RMSE,Test_MAE,Train_R2,Test_R2
Closed-Form,10.0,440318103.0692306,20983.758077837978,13986.179611647061,572773649.1156571,23932.68996823502,16016.724680852854,0.9077521887457215,0.8712291382672676
Gradient Descent,10.0,570261145.1750609,23880.141230215973,16491.136364539543,686371692.893539,26198.696396835072,18108.64389411425,0.8805287765388864,0.8456900478935818
