Metric,Value
Architecture,260 -> 100 -> 1
Learning_Rate,0.01
Epochs,1000
Train_MSE,293799843.2529517
Train_RMSE,17140.5905164598
Train_MAE,11542.139888799058
Test_MSE,1033618440.9784279
Test_RMSE,32149.93687363053
Test_MAE,19177.972352378078
Train_R2,0.9496801006815176
Test_R2,0.8652445263657856
