Metric,Value
Method,Stacking
Base_Models,RF+XGB+LGBM
Meta_Model,Ridge
Train_MSE,69168221.55534475
Train_RMSE,8316.743446526696
Train_MAE,5895.7427362407325
Test_MSE,783704642.9203305
Test_RMSE,27994.7252695991
Test_MAE,16338.52421521757
Train_R2,0.9884034475104885
Test_R2,0.8978264259235812
